"spp","mean.obs","sd.obs","rarity","mean.pred","sd.pred","cor"
"sp001",9,45.2258699235828,"abundant",8.98081336121797,45.172445066133,"#F5DB3A"
"sp002",0.233333333333333,1.10432795395438,"rare",0.22495932088407,1.07467954413609,"#0404A0"
"sp003",2.86666666666667,9.18294270817417,"rare",2.82470685125581,9.14181409714303,"#0404A0"
"sp004",3,6.55480871127292,"rare",2.95981978640775,6.49630141485999,"#0404A0"
"sp005",2.63333333333333,11.7722154869534,"rare",2.61374811343574,11.7349321806576,"#0404A0"
"sp006",1.53333333333333,5.98119658961969,"rare",1.52249132677334,5.93860230369767,"#0404A0"
"sp007",0.0666666666666667,0.365148371670111,"rare",0.06287287470774,0.341214060887663,"#0404A0"
"sp008",0.533333333333333,2.41737009183938,"rare",0.523898107976957,2.38371415002125,"#0404A0"
"sp009",0.1,0.547722557505166,"rare",0.0959759330315916,0.52252697855149,"#0404A0"
"sp010",0.766666666666667,3.49071016718151,"rare",0.753060802829934,3.45714642638242,"#0404A0"
"sp011",0.133333333333333,0.730296743340221,"rare",0.12914801031934,0.704217928649536,"#0404A0"
"sp012",16.1,53.5152894684926,"abundant",16.0658642019825,53.4617795146319,"#F5DB3A"
"sp013",0.266666666666667,1.46059348668044,"rare",0.262097631702425,1.43241299508241,"#0404A0"
"sp014",1.06666666666667,5.65644785168666,"rare",1.05739455329167,5.62431996100814,"#0404A0"
"sp015",1,3.30099253621361,"rare",0.98101410396051,3.25766551506926,"#0404A0"
"sp016",0.0333333333333333,0.182574185835055,"rare",0.0299457631719282,0.160864843471136,"#0404A0"
"sp017",0.2,0.805155799872898,"rare",0.191444889681378,0.77186674181804,"#0404A0"
"sp018",0.0666666666666667,0.365148371670111,"rare",0.06287287470774,0.341214060887663,"#0404A0"
"sp019",0.3,1.20773369980935,"rare",0.290989490743733,1.17279642635613,"#0404A0"
"sp020",2.2,3.41800506446226,"rare",2.1272669896535,3.36820653835851,"#0404A0"
"sp021",0.233333333333333,0.935260735665815,"rare",0.221096718518982,0.903052401647492,"#0404A0"
"sp022",0.333333333333333,1.82574185835055,"rare",0.328641782065219,1.79689031731958,"#0404A0"
"sp023",0.866666666666667,3.52071048211161,"rare",0.848529759479719,3.48494139595272,"#0404A0"
"sp024",0.2,1.09544511501033,"rare",0.195589553057843,1.06813324578275,"#0404A0"
"sp025",6.3,13.8493121950464,"abundant",6.24744348606301,13.7919068477588,"#F5DB3A"
"sp026",0.566666666666667,1.63334506212068,"rare",0.548521695925725,1.58775404026532,"#0404A0"
"sp027",0.0333333333333333,0.182574185835055,"rare",0.0299457631719283,0.160864843471137,"#0404A0"
"sp028",3.73333333333333,12.8437112837462,"rare",3.71618252779536,12.7944511685253,"#0404A0"
"sp029",0.266666666666667,1.14269292744673,"rare",0.257886432419882,1.11004520181335,"#0404A0"
"sp030",27.6,88.2549598098287,"abundant",27.5675417999083,88.172703699567,"#F5DB3A"
"sp031",8.06666666666667,23.0680153748287,"abundant",8.02313533410419,23.0072516565439,"#F5DB3A"
"sp032",27.7,62.4058739498797,"abundant",27.651839957853,62.3569973460623,"#F5DB3A"
"sp033",1.73333333333333,3.76859374973938,"rare",1.68364930822396,3.7199898455599,"#0404A0"
"sp034",0.4,1.83077145977619,"rare",0.387381317717672,1.79969866753363,"#0404A0"
"sp035",0.933333333333333,4.3859755595757,"rare",0.919424342645615,4.352618989192,"#0404A0"
"sp036",0.8,3.05580284614089,"rare",0.789845070156742,3.01508679290448,"#0404A0"
"sp037",13.4,37.9760360009418,"abundant",13.376396124749,37.924908611203,"#F5DB3A"
"sp038",1.46666666666667,7.66421749985329,"rare",1.45682345491589,7.63083922083247,"#0404A0"
"sp039",1.96666666666667,6.4779910324183,"rare",1.94266363400279,6.43282968686412,"#0404A0"
"sp040",3.76666666666667,10.4144572369485,"rare",3.73957581373677,10.3593634792887,"#0404A0"
"sp041",1.4,3.88276474550874,"rare",1.37571445868972,3.83283990217924,"#0404A0"
"sp042",0.333333333333333,1.15470053837925,"rare",0.320298965666393,1.11638526452266,"#0404A0"
"sp043",0.9,2.95191346476286,"rare",0.881254430450721,2.90889093679119,"#0404A0"
"sp044",4.33333333333333,5.63445884151989,"abundant",4.24570057508013,5.56933151914219,"#F5DB3A"
"sp045",2.83333333333333,5.83144468604794,"rare",2.78832282987704,5.77340697046779,"#0404A0"
"sp046",0.566666666666667,1.59056123977396,"rare",0.544582524218948,1.54621453001727,"#0404A0"
"sp047",1.5,5.1377574606182,"rare",1.47234673363762,5.09709957825404,"#0404A0"
"sp048",0.366666666666667,1.37673610356182,"rare",0.353607515659934,1.34063200603288,"#0404A0"
"sp049",1.23333333333333,4.00588647327675,"rare",1.21371606406636,3.96117115997626,"#0404A0"
"sp050",0.0333333333333333,0.182574185835055,"rare",0.0299457631719282,0.160864843471136,"#0404A0"
"sp051",0.233333333333333,1.27801930084539,"rare",0.228837810147818,1.25024144984186,"#0404A0"
"sp052",0.433333333333333,2.37346441585572,"rare",0.428498170291068,2.34382628074249,"#0404A0"
"sp053",0.533333333333333,2.73840292409876,"rare",0.524456440418341,2.70777636366906,"#0404A0"
"sp054",0.566666666666667,2.25424248815479,"rare",0.556936452923518,2.21636214828362,"#0404A0"
"sp055",0.0666666666666667,0.253708131702462,"rare",0.0593155309981546,0.22354046771181,"#0404A0"
"sp056",0.633333333333333,2.44220552290178,"rare",0.6234445315681,2.40279777364691,"#0404A0"
"sp057",1.56666666666667,8.5809867342476,"rare",1.56113222303473,8.54751848160451,"#0404A0"
"sp058",3.23333333333333,10.5526049515922,"rare",3.20776859442675,10.5050701843814,"#0404A0"
"sp059",0.433333333333333,1.00630198159445,"rare",0.411369567127448,0.955856381879339,"#0404A0"
"sp060",2.7,8.66284177312543,"rare",2.67449225871983,8.6157917899241,"#0404A0"
"sp061",0.133333333333333,0.730296743340221,"rare",0.12914801031934,0.704217928649535,"#0404A0"
"sp062",4.43333333333333,10.230729010777,"abundant",4.34406605566756,10.1664518953313,"#F5DB3A"
"sp063",3.6,11.9470094367904,"rare",3.57062039931734,11.9007337203725,"#0404A0"
"sp065",15.1,48.9696246456008,"abundant",15.0723313680544,48.9204635443057,"#F5DB3A"
"sp066",4.96666666666667,27.2035536894232,"abundant",4.97006836572969,27.1780518465617,"#F5DB3A"
"sp067",10.4333333333333,57.1457201663723,"abundant",10.4298832548217,57.0915631680238,"#F5DB3A"
"sp074",11.2333333333333,31.602797053571,"abundant",11.1867617663085,31.5416011573622,"#F5DB3A"
